"DATE_NAME","GEOGRAPHY_NAME","CELL_NAME","OBS_VALUE"
"Jul 2022-Jun 2023","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",314100
"Jul 2022-Jun 2023","Glasgow City","T01:22 (Aged 16-64 - All : All People )",432300
"Jul 2022-Jun 2023","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2579400
"Jul 2022-Jun 2023","Scotland","T01:22 (Aged 16-64 - All : All People )",3446400
"Oct 2022-Sep 2023","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",320000
"Oct 2022-Sep 2023","Glasgow City","T01:22 (Aged 16-64 - All : All People )",434600
"Oct 2022-Sep 2023","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2596300
"Oct 2022-Sep 2023","Scotland","T01:22 (Aged 16-64 - All : All People )",3450900
"Jan 2023-Dec 2023","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",309000
"Jan 2023-Dec 2023","Glasgow City","T01:22 (Aged 16-64 - All : All People )",434100
"Jan 2023-Dec 2023","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2581900
"Jan 2023-Dec 2023","Scotland","T01:22 (Aged 16-64 - All : All People )",3454000
"Apr 2023-Mar 2024","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",303500
"Apr 2023-Mar 2024","Glasgow City","T01:22 (Aged 16-64 - All : All People )",434900
"Apr 2023-Mar 2024","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2565800
"Apr 2023-Mar 2024","Scotland","T01:22 (Aged 16-64 - All : All People )",3457300
"Jul 2023-Jun 2024","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",295500
"Jul 2023-Jun 2024","Glasgow City","T01:22 (Aged 16-64 - All : All People )",435600
"Jul 2023-Jun 2024","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2573400
"Jul 2023-Jun 2024","Scotland","T01:22 (Aged 16-64 - All : All People )",3460700
"Oct 2023-Sep 2024","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",286800
"Oct 2023-Sep 2024","Glasgow City","T01:22 (Aged 16-64 - All : All People )",435500
"Oct 2023-Sep 2024","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2557500
"Oct 2023-Sep 2024","Scotland","T01:22 (Aged 16-64 - All : All People )",3463900
"Jan 2024-Dec 2024","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",284200
"Jan 2024-Dec 2024","Glasgow City","T01:22 (Aged 16-64 - All : All People )",433500
"Jan 2024-Dec 2024","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2573700
"Jan 2024-Dec 2024","Scotland","T01:22 (Aged 16-64 - All : All People )",3468100
"Apr 2024-Mar 2025","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",281700
"Apr 2024-Mar 2025","Glasgow City","T01:22 (Aged 16-64 - All : All People )",434000
"Apr 2024-Mar 2025","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2569500
"Apr 2024-Mar 2025","Scotland","T01:22 (Aged 16-64 - All : All People )",3471200
"Jul 2024-Jun 2025","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",284200
"Jul 2024-Jun 2025","Glasgow City","T01:22 (Aged 16-64 - All : All People )",433500
"Jul 2024-Jun 2025","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2573700
"Jul 2024-Jun 2025","Scotland","T01:22 (Aged 16-64 - All : All People )",3475300
"Oct 2024-Sep 2025","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",287800
"Oct 2024-Sep 2025","Glasgow City","T01:22 (Aged 16-64 - All : All People )",434200
"Oct 2024-Sep 2025","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2587200
"Oct 2024-Sep 2025","Scotland","T01:22 (Aged 16-64 - All : All People )",3479100
"Jan 2025-Dec 2025","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",293100
"Jan 2025-Dec 2025","Glasgow City","T01:22 (Aged 16-64 - All : All People )",435000
"Jan 2025-Dec 2025","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2602200
"Jan 2025-Dec 2025","Scotland","T01:22 (Aged 16-64 - All : All People )",3482200
"Apr 2025-Mar 2026","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",293000
"Apr 2025-Mar 2026","Glasgow City","T01:22 (Aged 16-64 - All : All People )",435800
"Apr 2025-Mar 2026","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2600200
"Apr 2025-Mar 2026","Scotland","T01:22 (Aged 16-64 - All : All People )",3487400
